Formatted_District,A,B,Localities,C,d,e,f,g,
AK-AL,VACANT (Young),R,Entire state,R+8,42.8%,52.8%,36.6%,51.3%,
AL-01,Jerry Carl,R,Southwest: Mobile,R+16,35.2%,63.5%,33.8%,62.9%,
AL-02,Barry Moore,R,"Southeast: Dothan, the",R+17,34.7%,64.1%,32.3%,64.8%,
AL-03,Mike Rogers,R,"East: Auburn, Anniston, Talladega",R+19,32.4%,66.4%,31.1%,65.7%,
AL-04,Robert Aderholt,R,"North central: Cullman, Fort Payne",R+33,18.6%,80.2%,18.0%,79.0%,
AL-05,OPEN (Brooks),R,North: Huntsville,R+17,35.5%,62.5%,30.8%,63.8%,
AL-06,Gary Palmer,R,Central: Birmingham suburbs,R+18,34.2%,64.1%,28.5%,66.8%,
AL-07,Terri Sewell,D,"Birmingham, Montgomery, the",D+14,65.5%,33.4%,64.1%,33.5%,
AR-01,Rick Crawford,R,"Northeast: Jonesboro, Arkansas Delta",R+22,28.1%,69.0%,30.1%,65.0%,
AR-02,French Hill,R,"Central: Little Rock, Conway",R+9,42.1%,55.2%,39.5%,54.5%,
AR-03,Steve Womack,R,"Northwest: Fayetteville, Springdale",R+15,36.8%,60.2%,31.8%,60.4%,
AR-04,Bruce Westerman,R,"South: Pine Bluff, Hot Springs",R+20,31.0%,66.2%,32.5%,62.9%,
AZ-01,David Schweikert,R,Scottsdale and North Phoenix,R+2,50.1%,48.7%,44.6%,48.8%,
AZ-02,Tom O'Halleran,D,"North: Flagstaff, Navajo Nation, Prescott",R+6,45.3%,53.2%,41.1%,51.2%,
AZ-03,Ruben Gallego,D,Phoenix and part of Glendale,D+24,74.5%,23.9%,71.4%,21.5%,
AZ-04,Greg Stanton,D,"Tempe, parts of Mesa and Chandler",D+2,54.1%,43.9%,46.5%,44.1%,
AZ-05,Andy Biggs,R,"East Valley: parts of Mesa, Gilbert, Apache Junction",R+11,41.0%,57.4%,35.3%,56.6%,
AZ-06,OPEN (Kirkpatrick),D,"Southeast: parts of Tucson, Casa Grande",R+3,49.3%,49.2%,43.8%,49.0%,
AZ-07,Raúl Grijalva,D,South: parts of Tucson and Yuma,D+15,65.6%,32.9%,63.4%,29.8%,
AZ-08,Debbie Lesko,R,"West Valley: Sun City, Peoria",R+10,42.5%,56.1%,37.2%,56.1%,
AZ-09,Paul Gosar,R,"West: Surprise, Buckeye, Lake Havasu City",R+16,36.4%,62.1%,32.3%,61.4%,
CA-01,Doug LaMalfa,R,"North State: Chico, Redding, Susanville",R+12,39.3%,58.3%,35.6%,58.3%,
CA-02,Jared Huffman,D,"Northern coast: Marin County, Mendocino",D+23,73.5%,24.1%,68.9%,23.4%,
CA-03,OPEN (McClintock),R,"North central: Sacramento exurbs, Lake Tahoe",R+4,47.9%,49.7%,42.5%,50.3%,
CA-04,Mike Thompson,D,"Santa Rosa, Napa, Davis",D+17,67.1%,30.5%,63.7%,29.3%,
CA-05,Tom McClintock,R,"Western Sierras: parts of Modesto, Fresno",R+9,42.7%,55.0%,39.3%,54.6%,
CA-06,Ami Bera,D,Northern Sacramento County: Rancho Cordova,D+7,57.9%,39.4%,54.8%,38.0%,
CA-07,Doris Matsui,D,"Central Sacramento, Elk Grove",D+17,67.4%,30.3%,66.3%,27.7%,
CA-08,John Garamendi,D,"Bay Area: Richmond, Vallejo, Fairfield",D+26,76.0%,21.9%,75.3%,19.4%,
CA-09,Josh Harder,D,"San Joaquin County: Stockton, Tracy",D+5,55.2%,42.6%,53.8%,40.8%,
CA-10,Mark DeSaulnier,D,East Bay: most of Contra Costa County,D+18,68.6%,29.3%,65.1%,28.9%,
CA-11,Nancy Pelosi,D,Most of San Francisco,D+37,86.3%,11.7%,86.0%,8.9%,
CA-12,Barbara Lee,D,"East Bay: Oakland, Berkeley",D+40,89.3%,8.6%,87.6%,6.5%,
CA-13,OPEN (Harder),D,"Central Valley: Modesto, Merced, Madera",D+4,54.3%,43.4%,53.4%,40.9%,
CA-14,Eric Swalwell,D,"East Bay: Hayward, Fremont",D+22,71.7%,26.2%,70.6%,23.5%,
CA-15,OPEN (Speier),D,Bay Area: most of San Mateo County,D+28,77.7%,20.4%,77.3%,17.9%,
CA-16,Anna Eshoo,D,"Silicon Valley: Palo Alto, Mountain View",D+26,75.4%,22.4%,74.4%,19.6%,
CA-17,Ro Khanna,D,"South Bay: Milpitas, Santa Clara, Cupertino",D+23,72.7%,25.3%,74.1%,20.2%,
CA-18,Zoe Lofgren,D,"Parts of San Jose, Salinas, Watsonville",D+21,70.9%,26.9%,71.5%,22.7%,
CA-19,Jimmy Panetta,D,"Central Coast: Monterey, Santa Cruz",D+18,68.6%,29.1%,66.4%,27.0%,
CA-20,Kevin McCarthy,R,"Central Valley: parts of Bakersfield, Clovis",R+16,36.4%,61.3%,31.8%,62.6%,
CA-21,Jim Costa,D,"Central Valley: Fresno, Visalia",D+9,59.2%,38.8%,58.2%,36.5%,
CA-22,David Valadao,R,"Central Valley: parts of Bakersfield, Hanford",D+5,55.2%,42.4%,55.2%,39.3%,
CA-23,Jay Obernolte,R,"San Bernardino County: Victorville, Hesperia",R+8,43.9%,53.7%,39.7%,54.6%,
CA-24,Salud Carbajal,D,"Central Coast: Santa Barbara, San Luis Obispo",D+13,63.4%,34.3%,59.1%,34.0%,
CA-25,Raul Ruiz,D,"Inland Empire: Palm Springs, Imperial County",D+6,56.7%,41.3%,56.3%,38.9%,
CA-26,Julia Brownley,D,"Ventura County: Oxnard, Thousand Oaks",D+8,58.9%,39.0%,55.7%,38.4%,
CA-27,Mike Garcia,R,"Northern LA County: Santa Clarita, Lancaster, Palmdale",D+4,55.1%,42.7%,51.9%,42.1%,
CA-28,Judy Chu,D,"San Gabriel Valley: Pasadena, Alhambra, Claremont",D+16,66.0%,32.1%,64.4%,29.9%,
CA-29,Tony Cardenas,D,"San Fernando Valley: San Fernando, Van Nuys",D+26,74.5%,23.2%,77.9%,16.6%,
CA-30,Adam Schiff,D,"LA suburbs: Glendale, Burbank, West Hollywood",D+23,72.2%,26.0%,73.8%,20.8%,
CA-31,Grace Napolitano,D,"San Gabriel Valley: El Monte, West Covina",D+15,64.5%,33.5%,65.7%,28.5%,
CA-32,Brad Sherman,D,"San Fernando Valley: Sherman Oaks, Malibu",D+20,69.5%,28.7%,70.0%,24.9%,
CA-33,Pete Aguilar,D,"Inland Empire: San Bernardino, Rialto, Colton",D+12,61.5%,36.2%,62.2%,32.3%,
CA-34,Jimmy Gomez,D,Central Los Angeles,D+32,81.0%,16.7%,84.0%,10.3%,
CA-35,Norma Torres,D,"Inland Empire: Ontario, Pomona, Fontana",D+13,62.9%,34.9%,64.6%,30.0%,
CA-36,Ted Lieu,D,"South Bay LA: Torrance, Santa Monica, Venice",D+21,71.0%,26.9%,69.2%,24.8%,
CA-37,OPEN (Bass),D,"Los Angeles: Leimert Park, Culver City",D+37,85.7%,12.4%,88.4%,7.3%,
CA-38,Linda Sanchez,D,"LA suburbs: Norwalk, Whittier, Pico Rivera",D+14,64.1%,33.9%,65.2%,29.3%,
CA-39,Mark Takano,D,"Riverside County: Riverside, Moreno Valley, Perris",D+12,62.0%,35.8%,61.4%,32.7%,
CA-40,Young Kim,R,"Inland Orange County: Yorba Linda, Mission Viejo",R+2,49.9%,48.1%,45.0%,49.3%,
CA-41,Ken Calvert,R,"Riverside County: Corona, Menifee, Palm Desert",R+3,48.6%,49.6%,44.6%,50.6%,
CA-42,OPEN (Lowenthal),D,"Long Beach, Downey, Huntington Park",D+22,71.7%,25.9%,72.3%,21.6%,
CA-43,Maxine Waters,D,"LA suburbs: Inglewood, Hawthorne, Compton",D+32,80.8%,17.0%,84.1%,11.4%,
CA-44,Nanette Barragan,D,"Port of Los Angeles: San Pedro, Carson",D+24,72.9%,24.7%,75.6%,19.1%,
CA-45,Michelle Steel,R,"Orange County: Westminster, Garden Grove, Fullerton",D+2,52.1%,46.0%,53.8%,40.6%,
CA-46,Lou Correa,D,"Central Orange County: Santa Ana, Anaheim",D+15,64.1%,33.7%,66.8%,27.3%,
CA-47,Katie Porter,D,"Orange County: Irvine, Huntington Beach, Newport Beach",D+3,54.5%,43.4%,50.7%,43.3%,
CA-48,Darrell Issa,R,"Inland San Diego County: Poway, Temecula",R+9,42.7%,55.0%,37.2%,57.1%,
CA-49,Mike Levin,D,"Northern San Diego County: Oceanside, Encinitas",D+3,54.6%,43.2%,49.7%,44.1%,
CA-50,Scott Peters,D,"Downtown San Diego, La Jolla",D+14,65.4%,32.2%,60.5%,33.2%,
CA-51,Sara Jacobs,D,"San Diego suburbs: Lemon Grove, El Cajon",D+12,62.5%,35.2%,58.4%,35.4%,
CA-52,Juan Vargas,D,"Parts of San Diego: Chula Vista, National City",D+18,67.4%,30.5%,70.7%,24.1%,
CO-01,Diana DeGette,D,Denver,D+29,79.5%,18.2%,73.6%,18.9%,
CO-02,Joe Neguse,D,"Boulder, Fort Collins",D+17,68.6%,28.8%,60.9%,30.4%,
CO-03,Lauren Boebert,R,"Grand Junction, Pueblo",R+7,44.7%,52.9%,39.0%,53.1%,
CO-04,Ken Buck,R,"Eastern Plains, south Denver suburbs",R+13,39.5%,58.0%,32.1%,59.6%,
CO-05,Doug Lamborn,R,Colorado Springs,R+9,43.1%,53.2%,34.1%,55.9%,
CO-06,Jason Crow,D,"East Denver suburbs, Aurora",D+9,60.6%,36.8%,52.3%,39.1%,
CO-07,OPEN (Perlmutter),D,West Denver suburbs,D+4,55.7%,41.5%,47.0%,44.1%,
CO-08,NEW SEAT,N/A,"North Denver suburbs, Greeley",EVEN,50.8%,46.2%,44.6%,46.4%,
CT-01,John Larson,D,"Central: Hartford, Bristol",D+12,63.3%,35.2%,59.4%,36.2%,
CT-02,Joe Courtney,D,"East: New London, Norwich, Mansfield",D+3,54.7%,43.2%,48.8%,45.4%,
CT-03,Rosa DeLauro,D,"South central: New Haven, Wallingford",D+7,59.2%,39.5%,55.0%,41.1%,
CT-04,Jim Himes,D,"Southwest: Greenwich, Bridgeport, Stamford",D+13,64.9%,33.7%,60.2%,35.7%,
CT-05,Jahana Hayes,D,"Northwest: New Britain, Danbury, Waterbury, Meriden",D+3,54.6%,43.9%,49.9%,45.7%,
DE-AL,Lisa Blunt Rochester,D,Entire state,D+7,58.7%,39.8%,53.1%,41.7%,
FL-01,Matt Gaetz,R,"Western Panhandle: Pensacola, Destin",R+19,32.9%,65.1%,28.3%,66.2%,
FL-02,Neal Dunn vs. Al Lawson,R,"Panhandle: Tallahassee, Panama City",R+8,43.9%,54.8%,41.9%,53.8%,
FL-03,Kat Cammack,R,"North central: Gainesville, Ocala",R+9,42.4%,56.4%,40.6%,55.3%,
FL-04,NEW SEAT,N/A,"Parts of Jacksonville, Orange Park, Fernandina Beach",R+6,45.9%,52.6%,42.9%,53.3%,
FL-05,John Rutherford,R,"Parts of Jacksonville, Jacksonville Beach, St. Augustine",R+11,41.4%,57.1%,36.6%,58.5%,
FL-06,Michael Waltz,R,"Northern Atlantic coast: Daytona Beach, Palm Coast",R+14,37.7%,61.3%,36.5%,59.9%,
FL-07,OPEN (Murphy),D,"Orlando suburbs: Seminole County, New Smyrna Beach",R+5,46.6%,52.1%,43.7%,51.4%,
FL-08,Bill Posey,R,"Space Coast: Melbourne, Vero Beach",R+11,40.5%,58.1%,37.3%,57.9%,
FL-09,Darren Soto,D,"Orlando suburbs: Kissimmee, St. Cloud",D+8,58.1%,40.7%,61.0%,34.7%,
FL-10,OPEN (Demings),D,Most of Orlando,D+14,65.1%,33.5%,63.6%,31.4%,
FL-11,Dan Webster,R,"North central: Clermont, The Villages",R+8,44.1%,54.9%,40.7%,55.7%,
FL-12,Gus Bilirakis,R,"West central Gulf Coast: New Port Richey, Spring Hill",R+17,35.1%,63.8%,33.7%,62.0%,
FL-13,Charlie Crist,D,"Pinellas County: parts of St. Petersburg, Clearwater",R+6,46.0%,52.7%,43.7%,51.5%,
FL-14,Kathy Castor,D,"Tampa Bay: most of Tampa, parts of St. Petersburg",D+8,58.8%,39.7%,58.3%,36.7%,
FL-15,NEW SEAT,N/A,"Tampa suburbs: Temple Terrace, Plant City, Zephyrhills",R+4,47.7%,50.9%,45.7%,49.6%,
FL-16,Vern Buchanan,R,"Tampa suburbs: Bradenton, Brandon",R+7,45.0%,53.8%,41.5%,54.0%,
FL-17,Greg Steube,R,"Southwest Gulf Coast: Sarasota, Port Charlotte",R+10,41.6%,57.5%,39.9%,56.4%,
FL-18,Scott Franklin,R,"South central: Winter Haven, Sebring",R+13,38.0%,60.8%,37.4%,58.7%,
FL-19,Byron Donalds,R,"Southwest Gulf Coast: Ft. Myers, Naples",R+13,39.1%,60.1%,36.8%,60.0%,
FL-20,Sheila Cherfilus-McCormick,D,Southeast: parts of Ft. Lauderdale and West Palm Beach,D+25,75.8%,23.4%,77.4%,20.3%,
FL-21,Brian Mast,R,"Treasure Coast: Port St. Lucie, Ft. Pierce, Jupiter",R+7,44.9%,54.3%,43.2%,53.4%,
FL-22,Lois Frankel,D,"Palm Beach County: Boynton Beach, Delray Beach",D+7,58.4%,40.8%,58.7%,38.5%,
FL-23,OPEN (Deutch),D,"Southeast: Boca Raton, Coral Springs",D+5,56.2%,43.1%,55.7%,41.5%,
FL-24,Frederica Wilson,D,"Southeast: North Miami, Little Haiti, Miami Beach",D+25,74.1%,25.1%,80.6%,17.2%,
FL-25,Debbie Wasserman Schultz,D,"Southern Broward County: Hollywood, Weston",D+9,59.5%,39.7%,62.7%,34.3%,
FL-26,Mario Diaz-Balart,R,"Southeast: Hialeah, Doral, Naples suburbs",R+8,40.5%,58.8%,50.3%,46.8%,
FL-27,Maria Elvira Salazar,R,"Miami-Dade County: Little Havana, Coral Gables, Kendall",EVEN,49.5%,49.8%,56.9%,39.7%,
FL-28,Carlos Gimenez,R,"Miami suburbs: Tamiami, Homestead, the Keys",R+2,46.5%,52.8%,56.0%,40.5%,
GA-01,Buddy Carter,R,"Coastal Georgia: Savannah, Brunswick",R+9,42.6%,56.0%,40.4%,56.9%,
GA-02,Sanford Bishop,D,"Southwest: Albany, Columbus, Macon",D+3,54.7%,44.4%,53.6%,44.5%,
GA-03,Drew Ferguson,R,"West central: Carrollton, LaGrange, Griffin",R+18,34.3%,64.4%,30.8%,66.3%,
GA-04,Hank Johnson,D,"DeKalb County: Decatur, Lithonia",D+27,78.3%,20.6%,74.7%,22.4%,
GA-05,Nikema Williams,D,Downtown Atlanta,D+32,82.7%,16.1%,80.7%,15.9%,
GA-06,OPEN (McBath),D,"North Atlanta suburbs: Alpharetta, Forsyth County",R+11,41.8%,56.6%,34.4%,61.0%,
GA-07,Carolyn Bourdeaux vs. Lucy McBath,D,"Gwinnett County: Snellville, Norcross",D+10,62.3%,36.5%,55.1%,41.1%,
GA-08,Austin Scott,R,"South central: Warner Robins, Valdosta",R+16,35.7%,63.3%,33.6%,64.3%,
GA-09,Andrew Clyde,R,"Northeast: Gainesville, Dahlonega",R+22,30.4%,68.3%,25.6%,71.1%,
GA-10,OPEN (Hice),R,"North central: Athens, Greensboro",R+15,37.7%,61.1%,34.0%,62.9%,
GA-11,Barry Loudermilk,R,"Northwest Atlanta suburbs: Marietta, Cartersville",R+11,41.5%,56.8%,35.5%,60.2%,
GA-12,Rick Allen,R,"East central: Augusta, Statesboro, Dublin",R+8,44.3%,54.5%,42.2%,55.4%,
GA-13,David Scott,D,"Southern Atlanta suburbs: Jonesboro, Fairburn",D+28,79.7%,19.3%,76.2%,21.6%,
GA-14,Marjorie Taylor Greene,R,"Northwest: Chattanooga suburbs, Rome",R+22,30.7%,68.1%,26.9%,70.2%,
HI-01,Ed Case,D,Oahu: Honolulu,D+14,63.9%,34.5%,63.1%,30.5%,
HI-02,OPEN (Kahele),D,Parts of Oahu and all,D+14,63.6%,34.1%,61.4%,29.6%,
IA-01,Mariannette Miller-Meeks,R,"Southeast: Davenport, Iowa City",R+3,47.5%,50.4%,44.8%,47.9%,
IA-02,Ashley Hinson,R,"Northeast: Cedar Rapids, Dubuque",R+4,46.8%,51.2%,44.1%,48.7%,
IA-03,Cindy Axne,D,"South central: Des Moines, Ottumwa",R+3,48.8%,49.2%,44.8%,47.8%,
IA-04,Randy Feenstra,R,"West: Sioux City, Council Bluffs, Ames",R+16,36.1%,62.0%,33.2%,60.2%,
ID-01,Russ Fulcher,R,"West: Northern Panhandle, Boise suburbs",R+22,29.5%,67.7%,25.0%,64.1%,
ID-02,Mike Simpson,R,"East: Boise, Pocatello, Idaho Falls",R+14,36.9%,59.9%,29.9%,54.4%,
IL-01,OPEN (Rush),D,"South Side Chicago: Hyde Park, New Lenox",D+20,70.5%,28.1%,71.9%,24.0%,
IL-02,Robin Kelly,D,"South Side Chicago, Kankakee, Danville",D+19,69.3%,29.3%,69.1%,26.8%,
IL-03,NEW SEAT,N/A,"Chicago northwest side: Humboldt Park, West Chicago",D+20,69.7%,28.3%,69.1%,24.6%,
IL-04,Chuy Garcia,D,"Chicago southwest side: Pilsen, Cicero",D+22,72.2%,25.9%,72.4%,21.7%,
IL-05,Mike Quigley,D,"North side of Chicago: Lincoln Park, Barrington",D+18,69.0%,29.2%,65.5%,27.3%,
IL-06,Sean Casten,D,"Southwest Chicago suburbs: Oak Lawn, Downers Grove",D+3,54.5%,43.6%,50.7%,42.4%,
IL-07,Danny Davis,D,"Chicago Loop and West Side: Austin, Oak Park",D+36,85.6%,12.8%,85.8%,9.8%,
IL-08,Raja Krishnamoorthi,D,"Northwest Chicago suburbs: Schaumburg, Elgin",D+6,56.8%,41.4%,54.6%,38.9%,
IL-09,Jan Schakowsky,D,"Chicago north suburbs: Evanston, Glenview",D+19,69.9%,28.5%,68.2%,25.8%,
IL-10,Brad Schneider,D,"Northeast: Highland Park, Waukegan",D+11,62.0%,36.1%,57.7%,34.9%,
IL-11,Bill Foster,D,"Chicago exurbs: Aurora, Naperville, Bolingbrook",D+5,56.6%,41.3%,51.7%,41.1%,
IL-12,Mike Bost,R,"South: Effingham, Carbondale",R+24,27.7%,70.5%,26.0%,68.5%,
IL-13,OPEN (Davis),R,"South central: East St. Louis, Springfield, Champaign",D+3,54.4%,43.2%,50.6%,42.3%,
IL-14,Lauren Underwood,D,"Chicago exurbs: Joliet, DeKalb",D+4,54.7%,43.3%,50.7%,42.1%,
IL-15,Mary Miller,R,"Metro East: St. Louis suburbs, Quincy",R+22,29.6%,68.4%,27.7%,66.0%,
IL-16,Darin LaHood,R,"North central: suburbs of Peoria, Rockford, Bloomington",R+13,38.1%,59.6%,34.3%,58.0%,
IL-17,OPEN (Bustos),D,"Northwest: Rock Island, Rockford, Peoria",D+2,52.7%,44.9%,49.6%,42.9%,
IN-01,Frank Mrvan,D,"Northwest: Gary, Hammond",D+3,53.4%,45.0%,53.0%,41.2%,
IN-02,Jackie Walorski,R,"North: South Bend, Elkhart",R+14,37.8%,60.4%,34.3%,59.4%,
IN-03,Jim Banks,R,Northeast: Fort Wayne,R+18,34.0%,63.9%,29.9%,64.0%,
IN-04,Jim Baird,R,"West central: Lafayette, Zionsville",R+18,34.3%,63.4%,29.6%,63.6%,
IN-05,Victoria Spartz,R,"Northern Indianapolis suburbs, Kokomo",R+11,41.0%,57.0%,34.9%,58.3%,
IN-06,Greg Pence,R,"East central: New Castle, Columbus",R+19,33.0%,64.9%,28.2%,65.3%,
IN-07,Andre Carson,D,Indianapolis,D+19,70.3%,27.9%,64.7%,29.0%,
IN-08,Larry Bucshon,R,"Southwest: Evansville, Terre Haute",R+19,32.7%,65.5%,30.2%,64.3%,
IN-09,OPEN (Hollingsworth),R,"Southeast: Jeffersonville, Bloomington",R+16,35.4%,62.8%,33.1%,61.4%,
KS-01,Tracey Mann,R,"West: Garden City, Hutchinson, Lawrence",R+18,34.1%,63.7%,29.6%,63.5%,
KS-02,Jake LaTurner,R,"East and southeast: Topeka, Kansas City, Pittsburg",R+11,40.7%,57.0%,36.9%,55.6%,
KS-03,Sharice Davids,D,"Kansas City suburbs: Overland Park, Olathe",R+1,51.2%,46.7%,42.9%,48.2%,
KS-04,Ron Estes,R,"South central: Wichita, El Dorado",R+14,38.0%,59.7%,32.3%,59.2%,
KY-01,James Comer,R,"West and central: Paducah, Frankfort",R+24,27.9%,70.6%,25.9%,70.2%,
KY-02,Brett Guthrie,R,"West central: Bowling Green, Owensboro",R+21,30.9%,67.4%,27.8%,67.6%,
KY-03,OPEN (Yarmuth),D,Louisville and inner suburbs,D+9,60.0%,37.7%,55.1%,39.6%,
KY-04,Thomas Massie,R,"North: Covington, Newport, Maysville",R+19,32.7%,65.4%,28.9%,65.6%,
KY-05,Hal Rogers,R,"East: Ashland, Pikeville, Somerset",R+32,19.7%,79.0%,18.5%,78.5%,
KY-06,Andy Barr,R,"Central: Lexington, Richmond, Georgetown",R+9,43.5%,54.5%,38.2%,55.8%,
LA-01,Steve Scalise,R,"New Orleans suburbs: Slidell, Houma",R+23,29.3%,68.8%,26.1%,69.3%,
LA-02,Troy Carter,D,"Southeast: New Orleans, Baton Rouge",D+25,75.6%,22.8%,74.6%,22.2%,
LA-03,Clay Higgins,R,"Southwest: Lafayette, Lake Charles",R+21,30.3%,68.0%,29.3%,67.2%,
LA-04,Mike Johnson,R,"Northwest: Shreveport, Opelousas",R+14,37.2%,61.3%,37.0%,60.3%,
LA-05,Julia Letlow,R,"Northeast: Monroe, Alexandria",R+17,34.4%,64.1%,34.4%,63.2%,
LA-06,Garret Graves,R,"South central: parts of Baton Rouge, Thibodaux",R+19,32.2%,65.9%,30.2%,65.5%,
MA-01,Richard Neal,D,"West: Springfield, the Berkshires",D+9,59.6%,38.0%,54.9%,37.4%,
MA-02,Jim McGovern,D,"West central: Worcester, Northampton",D+13,64.0%,33.3%,57.5%,33.9%,
MA-03,Lori Trahan,D,"Northeast: Lowell, Lawrence",D+11,62.4%,35.1%,56.7%,35.4%,
MA-04,Jake Auchincloss,D,"Southeast: Newton, Brookline, Fall River",D+12,63.0%,34.7%,57.6%,35.0%,
MA-05,Katherine Clark,D,"Boston suburbs: Arlington, Watertown",D+23,74.4%,23.5%,68.6%,24.9%,
MA-06,Seth Moulton,D,"Northeast: Lynn, Salem, Beverly",D+11,62.6%,35.2%,55.4%,37.3%,
MA-07,Ayanna Pressley,D,"Most of Boston, Somerville, Cambridge",D+35,85.2%,13.0%,83.2%,11.6%,
MA-08,Stephen Lynch,D,"South Boston, Quincy, Braintree",D+15,66.6%,31.3%,60.5%,32.9%,
MA-09,Bill Keating,D,"Southeast: Cape Cod, New Bedford, Plymouth",D+6,58.0%,39.9%,51.4%,41.5%,
MD-01,Andy Harris,R,"Eastern Shore, Harford County",R+11,41.5%,55.9%,35.6%,58.6%,
MD-02,Dutch Ruppersberger,D,"Baltimore suburbs: Towson, Owings Mills",D+7,58.9%,38.3%,52.3%,41.2%,
MD-03,John Sarbanes,D,"DC/Baltimore suburbs: Columbia, Glen Burnie, Annapolis",D+10,61.2%,35.9%,53.2%,39.5%,
MD-04,OPEN (Brown),D,DC suburbs: Most of Prince George's County,D+40,89.2%,8.6%,89.2%,7.4%,
MD-05,Steny Hoyer,D,"South: Waldorf, Bowie, La Plata",D+15,67.0%,30.7%,59.2%,35.3%,
MD-06,David Trone,D,"West: Frederick, Hagerstown, Gaithersburg",D+2,53.6%,43.8%,47.4%,46.2%,
MD-07,Kweisi Mfume,D,Baltimore and inner suburbs,D+30,80.5%,17.4%,77.7%,17.6%,
MD-08,Jamie Raskin,D,"DC suburbs: Rockville, Bethesda, Silver Spring",D+29,79.9%,17.8%,75.7%,18.4%,
ME-01,Chellie Pingree,D,"South: Portland, Brunswick",D+9,60.0%,37.2%,53.8%,39.4%,
ME-02,Jared Golden,D,"North: Bangor, Lewiston,",R+6,45.5%,51.6%,41.6%,50.6%,
MI-01,Jack Bergman,R,"North: Upper Peninsula, Traverse City",R+13,39.3%,59.1%,35.6%,58.9%,
MI-02,John Moolenaar,R,"West central: Manistee, Mount Pleasant",R+16,35.0%,63.2%,32.9%,60.9%,
MI-03,Peter Meijer,R,"West: Grand Rapids, Muskegon",D+1,53.3%,44.8%,46.7%,46.6%,
MI-04,Bill Huizenga,R,"West: Holland, Kalamazoo",R+5,47.1%,51.0%,42.2%,51.6%,
MI-05,Tim Walberg,R,"South: Jackson, Monroe, Three Rivers",R+15,37.1%,61.2%,34.5%,59.9%,
MI-06,Debbie Dingell,D,"Southeast: Ann Arbor, Canton, Ypsilanti",D+11,62.7%,36.0%,58.0%,37.2%,
MI-07,Elissa Slotkin,D,"Central: Lansing, Howell",R+2,49.6%,48.7%,45.1%,48.9%,
MI-08,Dan Kildee,D,"East central: Flint, Saginaw, Bay Cities",R+1,50.3%,48.2%,48.0%,46.9%,
MI-09,Lisa McClain,R,"The Thumb: Port Huron, Detroit exurbs",R+18,34.5%,64.0%,30.9%,64.0%,
MI-10,OPEN (Levin),D,"Macomb County: Warren, Sterling Heights",R+3,48.9%,49.8%,45.1%,50.4%,
MI-11,Haley Stevens vs. Andy Levin,D,"Oakland County: Royal Oak, Pontiac",D+7,59.3%,39.4%,54.5%,40.6%,
MI-12,Rashida Tlaib,D,"Detroit area: Dearborn, Southfield",D+23,73.7%,25.2%,71.8%,24.6%,
MI-13,OPEN (Lawrence),D,"Most of Detroit, Romulus, Taylor",D+23,74.2%,24.6%,74.1%,22.7%,
MN-01,VACANT (Hagedorn),R,"South: Mankato, Rochester",R+7,44.2%,53.4%,38.5%,52.4%,
MN-02,Angie Craig,D,"South Twin Cities suburbs: Eagan, Northfield",D+1,52.4%,45.2%,45.0%,46.0%,
MN-03,Dean Phillips,D,"Minneapolis suburbs: Maple Grove, Minnetonka",D+8,59.3%,38.4%,51.1%,40.1%,
MN-04,Betty McCollum,D,"St. Paul, Stillwater",D+17,67.5%,30.2%,61.1%,30.0%,
MN-05,Ilhan Omar,D,Minneapolis and inner suburbs,D+30,80.3%,17.4%,73.3%,18.1%,
MN-06,Tom Emmer,R,"Central: St. Cloud, Twin Cities exurbs",R+12,40.0%,57.6%,33.8%,57.5%,
